N,K,number_nodes,avg_time_no_pruning,avg_time_with_pruning
8,3,96,0.00015172362327575684,0.0004199624061584473
9,3,273,0.00025500059127807616,0.000613999366760254
10,3,599,0.0006678581237792968,0.0005294561386108398
11,3,1199,0.0014639854431152343,0.0007380962371826172
12,3,2303,0.002171480655670166,0.001538783311843872
13,3,4334,0.003915333747863769,0.0024085283279418946
14,3,8070,0.008044052124023437,0.002766716480255127
15,3,14942,0.013252848386764526,0.0059625208377838135
16,3,27582,0.025001853704452515,0.011131095886230468
17,3,50831,0.04605050683021546,0.01774502396583557
18,3,93593,0.0877006471157074,0.019765299558639527
19,3,172245,0.1610405385494232,0.040090566873550414
